,condition_concept_id,chi2,p_value,p_adj
17,81151,52.02432132775388,5.481743066145457e-13,1.2974476555163774e-11
146,4093347,51.975303594149636,5.620309454757253e-13,1.3265491510297883e-11
212,36717682,51.94626255843028,5.704052279645598e-13,1.3425853800595194e-11
834,4028387,51.92422343917921,5.768436697864237e-13,1.3539891331975805e-11
398,4116166,51.85343266058027,5.980203337999718e-13,1.399828863994039e-11
1202,141104,51.831849056950915,6.046304063999906e-13,1.4114133415331647e-11
2469,201621,51.5692117725887,6.911701960070322e-13,1.6090063439648635e-11
280,440530,51.27269873434443,8.038584926537149e-13,1.8662255770706597e-11
292,437663,51.03321418139443,9.081619509088063e-13,2.1026299991477187e-11
995,4049623,50.905798117141,9.69069035940421e-13,2.237548803909173e-11
140,74635,50.323195210663606,1.3039911193356154e-12,3.0027134257438277e-11
1461,46269757,50.22978722239297,1.3675609916806854e-12,3.140585336840752e-11
826,135287,50.10846185145307,1.4547829395293744e-12,3.3318842687819664e-11
2283,4146209,50.103168224660465,1.4587128256072022e-12,3.331903999780752e-11
249,78619,49.88248854273277,1.6323501864014829e-12,3.7185199822663267e-11
1802,79061,49.7885698027184,1.7123864264417095e-12,3.890413760822247e-11
1014,4142875,49.74368654827379,1.7520105384976235e-12,3.969822278830482e-11
335,4214376,49.59756023233207,1.8874828281427907e-12,4.2654099975343863e-11
59,4306267,49.18889124661097,2.3246344926211755e-12,5.2393685102923415e-11
908,373852,49.03798516209764,2.510533207343147e-12,5.643386418728761e-11
516,433753,49.005186161373906,2.5528663001380956e-12,5.7234050005998414e-11
92,433736,48.780805308961035,2.862273738583706e-12,6.399677791168584e-11
