condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
197925,,208.7648785358113,2.5546887740881734e-47,7.436505809614649e-46,,,
4275423,,207.4596531794373,4.921677980887569e-47,1.4286613848431176e-45,,,
135618,,206.94416339164053,6.3765463343786e-47,1.8458236631437995e-45,,,
315286,,206.53625924885654,7.82681680309958e-47,2.2593411171614122e-45,,,
4236484,,204.73899199254726,1.930797120474351e-46,5.5581284420968023e-45,,,
312934,,203.68123547018263,3.285031720341213e-46,9.430400452427041e-45,,,
437677,,203.5359236261684,3.533841946127002e-46,1.0116717769738789e-44,,,
435093,,203.47299721060588,3.647354026445312e-46,1.0391104663753413e-44,,,
135340,,203.47172534714082,3.649685529513083e-46,1.0391104663753413e-44,,,
4164151,,202.9627806437708,4.7131362026814075e-46,1.3382216234498684e-44,,,
195771,,202.78174492328156,5.161944216602241e-46,1.461660062641158e-44,,,
4151527,,202.68260765828282,5.425576036134541e-46,1.532135493682341e-44,,,
194913,,202.37991091454506,6.316798592244882e-46,1.7789748230517293e-44,,,
